arch,l1d,l1i,l2,num,dim,simSeconds,simTicks,simInsts,simOps,l1d-cache-0.demandHits::total,l1d-cache-0.demandMisses::total,l1i-cache-0.demandHits::total,l1i-cache-0.demandMisses::total,l2-cache-0.demandHits::total,l2-cache-0.demandMisses::total,core.cpi,core.ipc
ARM,128,64,1024,1000000,20,0.002198,2197972000,1479303,1689401,649878,586,1478796,531,819,962,1.485793,0.673041
ARM,32,64,1024,1000000,10,0.000619,619080000,404565,462988,154143,553,404066,521,794,864,1.530157,0.653528
ARM,128,32,256,1000000,80,0.058561,58560726000,39188736,42408450,19240209,989,39188253,545,1686,1216,1.494323,0.669199
ARM,32,64,1024,1000000,5,0.000282,281722000,172171,192213,50024,550,171671,521,750,859,1.636102,0.611209
ARM,32,64,256,1000000,40,0.010422,10421619000,7021893,7837955,3299807,988,7021385,540,1061,1236,1.484154,0.673784
ARM,32,64,128,1000000,80,0.058573,58573433000,39188736,42408450,19239367,1831,39188253,545,5025,1236,1.494647,0.669054
x86,32,64,128,1000000,20,0.002937,2937426000,1702355,2922286,664076,378,2193634,677,666,1078,1.725421,0.579569
ARM,128,32,128,1000000,40,0.010420,10420035000,7021893,7837955,3299944,851,7021385,540,802,1236,1.483929,0.673887
RISCV,32,128,1024,1000000,5,0.000390,389785000,222458,222707,63730,543,268421,426,769,834,1.751882,0.570815
RISCV,128,32,128,1000000,10,0.000870,870135000,520012,520861,177118,502,635285,426,742,834,1.673131,0.597682
RISCV,128,128,1024,1000000,5,0.000390,389661000,222458,222707,63771,502,268421,426,725,834,1.751325,0.570996
x86,64,128,128,1000000,5,0.000434,433545000,226849,414226,67185,272,298134,678,607,1004,1.910841,0.523330
RISCV,32,32,256,1000000,5,0.000390,389785000,222458,222707,63730,543,268421,426,769,834,1.751882,0.570815
x86,128,64,1024,1000000,10,0.000878,878362000,490173,881503,171070,273,637415,678,621,1002,1.791745,0.558115
x86,32,128,128,1000000,40,0.013568,13568117000,7927896,12666523,3300992,612,10150740,687,654,1343,1.711408,0.584314
RISCV,128,64,256,1000000,20,0.003061,3061033000,1863556,1866805,707170,570,2287107,425,743,904,1.642503,0.608827
x86,128,64,512,1000000,10,0.000878,878362000,490173,881503,171070,273,637415,678,621,1002,1.791745,0.558115
x86,32,128,512,1000000,5,0.000434,433795000,226849,414226,67148,309,298134,678,647,1004,1.911943,0.523028
x86,32,32,1024,1000000,20,0.002938,2937512000,1702355,2922286,664076,378,2193632,679,668,1078,1.725472,0.579552
ARM,32,32,512,1000000,20,0.002199,2198979000,1479303,1689401,649835,629,1478796,531,865,962,1.486474,0.672733
x86,64,128,256,1000000,5,0.000434,433545000,226849,414226,67185,272,298134,678,607,1004,1.910841,0.523330
ARM,64,32,256,1000000,80,0.058561,58561366000,39188736,42408450,19239967,1231,39188253,545,4057,1177,1.494339,0.669192
x86,32,64,512,1000000,40,0.013568,13568117000,7927896,12666523,3300992,612,10150740,687,654,1343,1.711408,0.584314
RISCV,32,64,256,1000000,40,0.014100,14099795000,8580401,8593250,3490165,870,10511767,441,850,1127,1.643228,0.608558
RISCV,64,32,256,1000000,40,0.014098,14098485000,8580401,8593250,3490203,832,10511767,441,819,1124,1.643075,0.608615
RISCV,32,64,512,1000000,10,0.000870,870402000,520012,520861,177076,544,635285,426,787,834,1.673644,0.597499
ARM,64,64,1024,1000000,10,0.000619,618710000,404565,462988,154179,517,404066,521,756,860,1.529242,0.653919
ARM,64,128,1024,1000000,40,0.010420,10420168000,7021893,7837955,3299931,864,7021385,540,817,1236,1.483948,0.673878
ARM,32,64,128,1000000,20,0.002199,2198979000,1479303,1689401,649835,629,1478796,531,865,962,1.486474,0.672733
RISCV,128,32,128,1000000,20,0.003061,3061033000,1863556,1866805,707170,570,2287107,425,743,904,1.642503,0.608827
x86,128,128,256,1000000,5,0.000434,433545000,226849,414226,67185,272,298134,678,607,1004,1.910841,0.523330
ARM,64,64,1024,1000000,80,0.058561,58561366000,39188736,42408450,19239967,1231,39188253,545,4057,1177,1.494339,0.669192
RISCV,64,64,1024,1000000,10,0.000870,870250000,520012,520861,177095,525,635285,426,766,834,1.673352,0.597603
RISCV,32,64,1024,1000000,10,0.000870,870402000,520012,520861,177076,544,635285,426,787,834,1.673644,0.597499
RISCV,64,32,512,1000000,80,0.076588,76588057000,46308329,46359578,19951582,988,56488937,444,3627,1243,1.653862,0.604645
x86,128,64,128,1000000,5,0.000434,433545000,226849,414226,67185,272,298134,678,607,1004,1.910841,0.523330
ARM,128,64,128,1000000,5,0.000281,281287000,172171,192213,50064,510,171671,521,707,855,1.633576,0.612154
RISCV,128,32,128,1000000,5,0.000390,389661000,222458,222707,63771,502,268421,426,725,834,1.751325,0.570996
RISCV,128,64,1024,1000000,10,0.000870,870133000,520012,520861,177118,502,635285,426,742,834,1.673127,0.597683
RISCV,32,64,128,1000000,80,0.076595,76595362000,46308329,46359578,19951071,1499,56488937,444,4649,1261,1.654020,0.604588
ARM,32,128,128,1000000,80,0.058573,58573433000,39188736,42408450,19239367,1831,39188253,545,5025,1236,1.494647,0.669054
RISCV,128,32,256,1000000,80,0.076585,76584900000,46308329,46359578,19951757,813,56488937,444,1699,1185,1.653794,0.604670
RISCV,128,128,128,1000000,10,0.000870,870133000,520012,520861,177118,502,635285,426,742,834,1.673127,0.597683
RISCV,32,64,128,1000000,40,0.014100,14099795000,8580401,8593250,3490165,870,10511767,441,850,1127,1.643228,0.608558
ARM,128,32,512,1000000,10,0.000619,618710000,404565,462988,154185,511,404066,521,749,860,1.529242,0.653919
ARM,128,32,128,1000000,80,0.058561,58561000000,39188736,42408450,19240209,989,39188253,545,1682,1220,1.494330,0.669196
x86,64,64,128,1000000,5,0.000434,433545000,226849,414226,67185,272,298134,678,607,1004,1.910841,0.523330
ARM,64,32,256,1000000,5,0.000281,281354000,172171,192213,50062,512,171671,521,709,855,1.633965,0.612008
ARM,32,64,256,1000000,5,0.000282,281722000,172171,192213,50024,550,171671,521,750,859,1.636102,0.611209
ARM,128,64,512,1000000,5,0.000281,281287000,172171,192213,50064,510,171671,521,707,855,1.633576,0.612154
ARM,64,64,1024,1000000,20,0.002198,2198052000,1479303,1689401,649868,596,1478796,531,830,962,1.485847,0.673017
x86,128,128,512,1000000,40,0.013567,13566668000,7927896,12666523,3301031,573,10150740,687,612,1343,1.711225,0.584377
ARM,128,32,512,1000000,20,0.002198,2197972000,1479303,1689401,649878,586,1478796,531,819,962,1.485793,0.673041
x86,128,32,512,1000000,80,0.075328,75328326000,43927744,64430812,19179460,725,55958744,693,1473,1449,1.714812,0.583154
ARM,64,128,128,1000000,40,0.010420,10420252000,7021893,7837955,3299931,864,7021385,540,816,1237,1.483960,0.673873
ARM,128,128,1024,1000000,5,0.000281,281287000,172171,192213,50064,510,171671,521,707,855,1.633576,0.612154
ARM,32,128,256,1000000,40,0.010422,10421619000,7021893,7837955,3299807,988,7021385,540,1061,1236,1.484154,0.673784
ARM,64,32,256,1000000,20,0.002198,2198056000,1479303,1689401,649868,596,1478796,531,830,962,1.485850,0.673016
x86,32,128,128,1000000,5,0.000434,433795000,226849,414226,67148,309,298134,678,647,1004,1.911943,0.523028
x86,32,64,512,1000000,10,0.000879,878725000,490173,881503,171032,311,637415,678,662,1002,1.792486,0.557884
x86,32,64,256,1000000,40,0.013568,13568117000,7927896,12666523,3300992,612,10150740,687,654,1343,1.711408,0.584314
ARM,64,32,256,1000000,10,0.000619,618710000,404565,462988,154179,517,404066,521,756,860,1.529242,0.653919
RISCV,128,128,128,1000000,80,0.076585,76585008000,46308329,46359578,19951757,813,56488937,444,1696,1188,1.653796,0.604669
x86,64,64,512,1000000,40,0.013567,13566830000,7927896,12666523,3301021,583,10150740,687,624,1344,1.711245,0.584370
ARM,128,32,1024,1000000,10,0.000619,618710000,404565,462988,154185,511,404066,521,749,860,1.529242,0.653919
RISCV,64,128,128,1000000,40,0.014098,14098481000,8580401,8593250,3490203,832,10511767,441,819,1124,1.643075,0.608615
RISCV,0,0,0,1000000,80,3.771727,3771726997000,46308329,46359578,,,,,,,81.447638,0.012278
ARM,64,128,128,1000000,80,0.058562,58562419000,39188736,42408450,19239967,1231,39188253,545,4037,1197,1.494366,0.669180
ARM,128,64,512,1000000,10,0.000619,618710000,404565,462988,154185,511,404066,521,749,860,1.529242,0.653919
ARM,64,64,256,1000000,10,0.000619,618710000,404565,462988,154179,517,404066,521,756,860,1.529242,0.653919
ARM,128,32,128,1000000,10,0.000619,618710000,404565,462988,154185,511,404066,521,749,860,1.529242,0.653919
x86,128,64,128,1000000,80,0.075329,75328652000,43927744,64430812,19179460,725,55958746,691,1470,1450,1.714820,0.583152
x86,128,64,512,1000000,80,0.075328,75328320000,43927744,64430812,19179460,725,55958746,691,1471,1449,1.714812,0.583154
x86,128,128,512,1000000,20,0.002937,2936777000,1702355,2922286,664116,338,2193634,677,618,1078,1.725040,0.579697
RISCV,128,64,1024,1000000,20,0.003061,3061033000,1863556,1866805,707170,570,2287107,425,743,904,1.642503,0.608827
x86,32,32,512,1000000,5,0.000434,433831000,226849,414226,67148,309,298132,680,649,1004,1.912102,0.522985
RISCV,128,64,128,1000000,20,0.003061,3061033000,1863556,1866805,707170,570,2287107,425,743,904,1.642503,0.608827
RISCV,128,64,1024,1000000,80,0.076585,76584894000,46308329,46359578,19951757,813,56488937,444,1699,1185,1.653794,0.604670
x86,128,32,1024,1000000,20,0.002937,2936896000,1702355,2922286,664116,338,2193632,679,620,1078,1.725110,0.579673
ARM,64,32,128,1000000,10,0.000619,618853000,404565,462988,154179,517,404066,521,755,861,1.529596,0.653768
RISCV,64,32,512,1000000,5,0.000390,389785000,222458,222707,63751,522,268421,426,746,834,1.751882,0.570815
ARM,128,64,1024,1000000,10,0.000619,618710000,404565,462988,154185,511,404066,521,749,860,1.529242,0.653919
RISCV,64,128,256,1000000,80,0.076588,76588055000,46308329,46359578,19951582,988,56488937,444,3627,1243,1.653862,0.604645
x86,32,64,1024,1000000,10,0.000879,878725000,490173,881503,171032,311,637415,678,662,1002,1.792486,0.557884
RISCV,32,32,1024,1000000,40,0.014100,14099801000,8580401,8593250,3490165,870,10511767,441,850,1127,1.643228,0.608558
RISCV,64,64,512,1000000,20,0.003061,3061195000,1863556,1866805,707145,595,2287107,425,774,904,1.642590,0.608795
RISCV,32,32,512,1000000,80,0.076595,76594685000,46308329,46359578,19951071,1499,56488937,444,4667,1243,1.654005,0.604593
x86,128,128,128,1000000,5,0.000434,433545000,226849,414226,67185,272,298134,678,607,1004,1.910841,0.523330
x86,32,32,256,1000000,10,0.000879,878761000,490173,881503,171032,311,637413,680,664,1002,1.792559,0.557862
x86,32,128,128,1000000,20,0.002937,2937426000,1702355,2922286,664076,378,2193634,677,666,1078,1.725421,0.579569
ARM,128,32,1024,1000000,5,0.000281,281291000,172171,192213,50064,510,171671,521,707,855,1.633599,0.612145
ARM,32,64,512,1000000,40,0.010422,10421619000,7021893,7837955,3299807,988,7021385,540,1061,1236,1.484154,0.673784
RISCV,128,64,256,1000000,10,0.000870,870133000,520012,520861,177118,502,635285,426,742,834,1.673127,0.597683
RISCV,128,64,512,1000000,20,0.003061,3061033000,1863556,1866805,707170,570,2287107,425,743,904,1.642503,0.608827
ARM,128,32,512,1000000,40,0.010420,10420035000,7021893,7837955,3299944,851,7021385,540,802,1236,1.483929,0.673887
RISCV,128,32,1024,1000000,80,0.076585,76584900000,46308329,46359578,19951757,813,56488937,444,1699,1185,1.653794,0.604670
x86,128,128,1024,1000000,80,0.075328,75328320000,43927744,64430812,19179460,725,55958746,691,1471,1449,1.714812,0.583154
RISCV,32,64,512,1000000,5,0.000390,389785000,222458,222707,63730,543,268421,426,769,834,1.751882,0.570815
ARM,32,32,128,1000000,5,0.000282,281722000,172171,192213,50024,550,171671,521,750,859,1.636102,0.611209
RISCV,128,64,128,1000000,80,0.076585,76585008000,46308329,46359578,19951757,813,56488937,444,1696,1188,1.653796,0.604669
ARM,64,32,1024,1000000,10,0.000619,618710000,404565,462988,154179,517,404066,521,756,860,1.529242,0.653919
x86,32,64,512,1000000,80,0.075338,75337548000,43927744,64430812,19178526,1659,55958746,691,4814,1370,1.715022,0.583083
ARM,128,32,512,1000000,5,0.000281,281291000,172171,192213,50064,510,171671,521,707,855,1.633599,0.612145
x86,64,32,512,1000000,20,0.002937,2936896000,1702355,2922286,664116,338,2193632,679,620,1078,1.725110,0.579673
RISCV,64,128,128,1000000,5,0.000390,389785000,222458,222707,63751,522,268421,426,746,834,1.751882,0.570815
RISCV,128,64,512,1000000,40,0.014102,14102176000,8580401,8593250,3490203,832,10511767,441,738,1177,1.643505,0.608456
RISCV,64,128,512,1000000,20,0.003061,3061195000,1863556,1866805,707145,595,2287107,425,774,904,1.642590,0.608795
RISCV,32,32,128,1000000,80,0.076595,76595364000,46308329,46359578,19951071,1499,56488937,444,4649,1261,1.654020,0.604588
x86,128,64,1024,1000000,5,0.000434,433545000,226849,414226,67185,272,298134,678,607,1004,1.910841,0.523330
x86,64,32,512,1000000,40,0.013567,13566832000,7927896,12666523,3301021,583,10150738,689,626,1344,1.711246,0.584370
ARM,64,64,512,1000000,5,0.000281,281354000,172171,192213,50062,512,171671,521,709,855,1.633965,0.612008
ARM,128,32,1024,1000000,20,0.002198,2197972000,1479303,1689401,649878,586,1478796,531,819,962,1.485793,0.673041
RISCV,64,128,512,1000000,5,0.000390,389785000,222458,222707,63751,522,268421,426,746,834,1.751882,0.570815
RISCV,128,32,512,1000000,80,0.076585,76584900000,46308329,46359578,19951757,813,56488937,444,1699,1185,1.653794,0.604670
x86,64,128,1024,1000000,20,0.002937,2936777000,1702355,2922286,664116,338,2193634,677,618,1078,1.725040,0.579697
ARM,128,128,512,1000000,80,0.058561,58560726000,39188736,42408450,19240209,989,39188253,545,1686,1216,1.494323,0.669199
x86,32,64,1024,1000000,20,0.002937,2937426000,1702355,2922286,664076,378,2193634,677,666,1078,1.725421,0.579569
x86,64,32,128,1000000,10,0.000878,878384000,490173,881503,171070,273,637413,680,623,1002,1.791790,0.558101
x86,32,64,1024,1000000,5,0.000434,433795000,226849,414226,67148,309,298134,678,647,1004,1.911943,0.523028
x86,64,128,512,1000000,5,0.000434,433545000,226849,414226,67185,272,298134,678,607,1004,1.910841,0.523330
ARM,64,128,256,1000000,5,0.000281,281354000,172171,192213,50062,512,171671,521,709,855,1.633965,0.612008
RISCV,128,128,1024,1000000,40,0.014102,14102176000,8580401,8593250,3490203,832,10511767,441,738,1177,1.643505,0.608456
RISCV,64,128,128,1000000,20,0.003061,3061195000,1863556,1866805,707145,595,2287107,425,774,904,1.642590,0.608795
x86,128,32,1024,1000000,80,0.075328,75328326000,43927744,64430812,19179460,725,55958744,693,1473,1449,1.714812,0.583154
RISCV,32,32,128,1000000,10,0.000870,870404000,520012,520861,177076,544,635285,426,787,834,1.673648,0.597497
RISCV,128,32,1024,1000000,5,0.000390,389661000,222458,222707,63771,502,268421,426,725,834,1.751325,0.570996
ARM,64,64,1024,1000000,40,0.010420,10420168000,7021893,7837955,3299931,864,7021385,540,817,1236,1.483948,0.673878
x86,64,64,512,1000000,20,0.002937,2936777000,1702355,2922286,664116,338,2193634,677,618,1078,1.725040,0.579697
x86,64,64,256,1000000,20,0.002937,2936777000,1702355,2922286,664116,338,2193634,677,618,1078,1.725040,0.579697
RISCV,128,64,512,1000000,5,0.000390,389661000,222458,222707,63771,502,268421,426,725,834,1.751325,0.570996
ARM,128,128,128,1000000,80,0.058561,58561000000,39188736,42408450,19240209,989,39188253,545,1682,1220,1.494330,0.669196
ARM,128,128,256,1000000,10,0.000619,618710000,404565,462988,154185,511,404066,521,749,860,1.529242,0.653919
x86,128,128,256,1000000,80,0.075328,75328320000,43927744,64430812,19179460,725,55958746,691,1471,1449,1.714812,0.583154
RISCV,32,128,512,1000000,10,0.000870,870402000,520012,520861,177076,544,635285,426,787,834,1.673644,0.597499
x86,128,32,1024,1000000,10,0.000878,878384000,490173,881503,171070,273,637413,680,623,1002,1.791790,0.558101
RISCV,128,128,256,1000000,5,0.000390,389661000,222458,222707,63771,502,268421,426,725,834,1.751325,0.570996
RISCV,128,128,256,1000000,10,0.000870,870133000,520012,520861,177118,502,635285,426,742,834,1.673127,0.597683
RISCV,32,128,128,1000000,20,0.003061,3061195000,1863556,1866805,707126,614,2287107,425,794,904,1.642590,0.608795
ARM,64,32,512,1000000,5,0.000281,281354000,172171,192213,50062,512,171671,521,709,855,1.633965,0.612008
x86,64,64,512,1000000,80,0.075331,75331248000,43927744,64430812,19179237,948,55958746,691,3441,1448,1.714879,0.583132
ARM,128,64,1024,1000000,5,0.000281,281287000,172171,192213,50064,510,171671,521,707,855,1.633576,0.612154
ARM,128,128,512,1000000,10,0.000619,618710000,404565,462988,154185,511,404066,521,749,860,1.529242,0.653919
ARM,128,128,128,1000000,5,0.000281,281287000,172171,192213,50064,510,171671,521,707,855,1.633576,0.612154
x86,64,64,256,1000000,80,0.075331,75331248000,43927744,64430812,19179237,948,55958746,691,3441,1448,1.714879,0.583132
x86,64,32,1024,1000000,40,0.013567,13566832000,7927896,12666523,3301021,583,10150738,689,626,1344,1.711246,0.584370
RISCV,64,128,128,1000000,10,0.000870,870250000,520012,520861,177095,525,635285,426,766,834,1.673352,0.597603
RISCV,32,128,128,1000000,40,0.014100,14099795000,8580401,8593250,3490165,870,10511767,441,850,1127,1.643228,0.608558
x86,64,64,128,1000000,40,0.013567,13566830000,7927896,12666523,3301021,583,10150740,687,624,1344,1.711245,0.584370
x86,128,64,128,1000000,10,0.000878,878362000,490173,881503,171070,273,637415,678,621,1002,1.791745,0.558115
ARM,32,128,512,1000000,40,0.010422,10421619000,7021893,7837955,3299807,988,7021385,540,1061,1236,1.484154,0.673784
RISCV,64,64,1024,1000000,5,0.000390,389785000,222458,222707,63751,522,268421,426,746,834,1.751882,0.570815
x86,32,64,1024,1000000,40,0.013568,13568117000,7927896,12666523,3300992,612,10150740,687,654,1343,1.711408,0.584314
ARM,64,128,256,1000000,80,0.058561,58561366000,39188736,42408450,19239967,1231,39188253,545,4057,1177,1.494339,0.669192
x86,128,32,256,1000000,20,0.002937,2936896000,1702355,2922286,664116,338,2193632,679,620,1078,1.725110,0.579673
ARM,64,128,512,1000000,20,0.002198,2198052000,1479303,1689401,649868,596,1478796,531,830,962,1.485847,0.673017
x86,64,32,1024,1000000,5,0.000434,433559000,226849,414226,67185,272,298132,680,609,1004,1.910903,0.523313
ARM,128,32,256,1000000,10,0.000619,618710000,404565,462988,154185,511,404066,521,749,860,1.529242,0.653919
RISCV,128,128,256,1000000,80,0.076585,76584894000,46308329,46359578,19951757,813,56488937,444,1699,1185,1.653794,0.604670
ARM,32,128,1024,1000000,80,0.058571,58571372000,39188736,42408450,19239367,1831,39188253,545,5044,1217,1.494595,0.669078
x86,128,64,128,1000000,20,0.002937,2936777000,1702355,2922286,664116,338,2193634,677,618,1078,1.725040,0.579697
x86,64,32,512,1000000,10,0.000878,878384000,490173,881503,171070,273,637413,680,623,1002,1.791790,0.558101
ARM,64,64,256,1000000,20,0.002198,2198052000,1479303,1689401,649868,596,1478796,531,830,962,1.485847,0.673017
ARM,128,64,512,1000000,80,0.058561,58560726000,39188736,42408450,19240209,989,39188253,545,1686,1216,1.494323,0.669199
x86,128,64,256,1000000,5,0.000434,433545000,226849,414226,67185,272,298134,678,607,1004,1.910841,0.523330
ARM,128,64,256,1000000,5,0.000281,281287000,172171,192213,50064,510,171671,521,707,855,1.633576,0.612154
RISCV,32,32,512,1000000,10,0.000870,870404000,520012,520861,177076,544,635285,426,787,834,1.673648,0.597497
RISCV,128,32,256,1000000,40,0.014102,14102184000,8580401,8593250,3490203,832,10511767,441,738,1177,1.643506,0.608455
ARM,32,32,1024,1000000,20,0.002199,2198979000,1479303,1689401,649835,629,1478796,531,865,962,1.486474,0.672733
RISCV,128,64,512,1000000,80,0.076585,76584894000,46308329,46359578,19951757,813,56488937,444,1699,1185,1.653794,0.604670
x86,128,32,256,1000000,10,0.000878,878384000,490173,881503,171070,273,637413,680,623,1002,1.791790,0.558101
x86,128,128,256,1000000,10,0.000878,878362000,490173,881503,171070,273,637415,678,621,1002,1.791745,0.558115
ARM,32,32,1024,1000000,5,0.000282,281722000,172171,192213,50024,550,171671,521,750,859,1.636102,0.611209
ARM,64,64,512,1000000,10,0.000619,618710000,404565,462988,154179,517,404066,521,756,860,1.529242,0.653919
RISCV,32,32,256,1000000,10,0.000870,870404000,520012,520861,177076,544,635285,426,787,834,1.673648,0.597497
ARM,128,128,1024,1000000,80,0.058561,58560726000,39188736,42408450,19240209,989,39188253,545,1686,1216,1.494323,0.669199
x86,64,32,256,1000000,80,0.075331,75331284000,43927744,64430812,19179237,948,55958744,693,3443,1448,1.714880,0.583131
RISCV,64,32,128,1000000,10,0.000870,870252000,520012,520861,177095,525,635285,426,766,834,1.673356,0.597602
RISCV,32,32,512,1000000,20,0.003061,3061195000,1863556,1866805,707126,614,2287107,425,794,904,1.642590,0.608795
ARM,128,128,256,1000000,40,0.010420,10420035000,7021893,7837955,3299944,851,7021385,540,802,1236,1.483929,0.673887
ARM,32,32,1024,1000000,80,0.058571,58571372000,39188736,42408450,19239367,1831,39188253,545,5044,1217,1.494595,0.669078
ARM,128,128,128,1000000,20,0.002198,2197972000,1479303,1689401,649878,586,1478796,531,819,962,1.485793,0.673041
x86,128,32,512,1000000,40,0.013567,13566670000,7927896,12666523,3301031,573,10150738,689,614,1343,1.711225,0.584377
x86,128,128,512,1000000,10,0.000878,878362000,490173,881503,171070,273,637415,678,621,1002,1.791745,0.558115
