arch,l1d,l1i,l2,num,dim,simSeconds,simTicks,simInsts,simOps,l1d-cache-0.demandHits::total,l1d-cache-0.demandMisses::total,l1i-cache-0.demandHits::total,l1i-cache-0.demandMisses::total,l2-cache-0.demandHits::total,l2-cache-0.demandMisses::total,core.cpi,core.ipc
ARM,64,32,128,1000000,40,0.010420,10420325000,7021893,7837955,3299931,864,7021385,540,815,1238,1.483970,0.673868
RISCV,32,128,128,1000000,80,0.076595,76595362000,46308329,46359578,19951071,1499,56488937,444,4649,1261,1.654020,0.604588
RISCV,64,64,512,1000000,40,0.014098,14098481000,8580401,8593250,3490203,832,10511767,441,819,1124,1.643075,0.608615
RISCV,32,64,512,1000000,40,0.014100,14099795000,8580401,8593250,3490165,870,10511767,441,850,1127,1.643228,0.608558
RISCV,64,32,1024,1000000,80,0.076588,76588057000,46308329,46359578,19951582,988,56488937,444,3627,1243,1.653862,0.604645
ARM,0,0,0,1000000,5,0.010882,10882179000,172171,192213,,,,,,,63.198303,0.015823
x86,128,32,128,1000000,20,0.002937,2936896000,1702355,2922286,664116,338,2193632,679,620,1078,1.725110,0.579673
x86,32,128,256,1000000,20,0.002937,2937426000,1702355,2922286,664076,378,2193634,677,666,1078,1.725421,0.579569
x86,32,128,1024,1000000,80,0.075338,75337548000,43927744,64430812,19178526,1659,55958746,691,4814,1370,1.715022,0.583083
RISCV,128,64,128,1000000,5,0.000390,389661000,222458,222707,63771,502,268421,426,725,834,1.751325,0.570996
x86,128,32,1024,1000000,40,0.013567,13566670000,7927896,12666523,3301031,573,10150738,689,614,1343,1.711225,0.584377
ARM,128,64,256,1000000,10,0.000619,618710000,404565,462988,154185,511,404066,521,749,860,1.529242,0.653919
ARM,64,64,128,1000000,80,0.058562,58562419000,39188736,42408450,19239967,1231,39188253,545,4037,1197,1.494366,0.669180
RISCV,64,64,128,1000000,80,0.076589,76589059000,46308329,46359578,19951582,988,56488937,444,3608,1262,1.653884,0.604637
x86,64,128,1024,1000000,80,0.075331,75331248000,43927744,64430812,19179237,948,55958746,691,3441,1448,1.714879,0.583132
ARM,128,64,128,1000000,10,0.000619,618710000,404565,462988,154185,511,404066,521,749,860,1.529242,0.653919
x86,64,64,1024,1000000,10,0.000878,878362000,490173,881503,171070,273,637415,678,621,1002,1.791745,0.558115
RISCV,64,128,256,1000000,40,0.014098,14098481000,8580401,8593250,3490203,832,10511767,441,819,1124,1.643075,0.608615
ARM,64,128,512,1000000,10,0.000619,618710000,404565,462988,154179,517,404066,521,756,860,1.529242,0.653919
x86,32,128,1024,1000000,20,0.002937,2937426000,1702355,2922286,664076,378,2193634,677,666,1078,1.725421,0.579569
ARM,64,128,512,1000000,80,0.058561,58561366000,39188736,42408450,19239967,1231,39188253,545,4057,1177,1.494339,0.669192
ARM,64,32,512,1000000,40,0.010420,10420171000,7021893,7837955,3299931,864,7021385,540,817,1236,1.483948,0.673878
ARM,64,32,512,1000000,80,0.058561,58561366000,39188736,42408450,19239967,1231,39188253,545,4057,1177,1.494339,0.669192
RISCV,64,32,512,1000000,20,0.003061,3061195000,1863556,1866805,707145,595,2287107,425,774,904,1.642590,0.608795
RISCV,0,0,0,1000000,40,0.695929,695928589000,8580401,8593250,,,,,,,81.105378,0.012330
RISCV,128,128,128,1000000,5,0.000390,389661000,222458,222707,63771,502,268421,426,725,834,1.751325,0.570996
RISCV,64,64,256,1000000,20,0.003061,3061195000,1863556,1866805,707145,595,2287107,425,774,904,1.642590,0.608795
x86,32,128,256,1000000,40,0.013568,13568117000,7927896,12666523,3300992,612,10150740,687,654,1343,1.711408,0.584314
x86,0,0,0,1000000,80,3.728308,3728307789000,43927744,64430812,,,,,,,84.873099,0.011782
ARM,32,128,512,1000000,10,0.000619,619080000,404565,462988,154143,553,404066,521,794,864,1.530157,0.653528
RISCV,128,128,1024,1000000,20,0.003061,3061033000,1863556,1866805,707170,570,2287107,425,743,904,1.642503,0.608827
ARM,32,64,128,1000000,40,0.010422,10421619000,7021893,7837955,3299807,988,7021385,540,1060,1237,1.484154,0.673784
RISCV,128,128,512,1000000,80,0.076585,76584894000,46308329,46359578,19951757,813,56488937,444,1699,1185,1.653794,0.604670
x86,128,32,512,1000000,5,0.000434,433559000,226849,414226,67185,272,298132,680,609,1004,1.910903,0.523313
RISCV,128,32,512,1000000,5,0.000390,389661000,222458,222707,63771,502,268421,426,725,834,1.751325,0.570996
RISCV,128,128,512,1000000,40,0.014102,14102176000,8580401,8593250,3490203,832,10511767,441,738,1177,1.643505,0.608456
RISCV,0,0,0,1000000,10,0.040024,40023629000,520012,520861,,,,,,,76.959045,0.012994
x86,32,32,128,1000000,5,0.000434,433831000,226849,414226,67148,309,298132,680,649,1004,1.912102,0.522985
RISCV,64,32,256,1000000,20,0.003061,3061195000,1863556,1866805,707145,595,2287107,425,774,904,1.642590,0.608795
RISCV,128,128,512,1000000,10,0.000870,870133000,520012,520861,177118,502,635285,426,742,834,1.673127,0.597683
RISCV,64,32,256,1000000,10,0.000870,870252000,520012,520861,177095,525,635285,426,766,834,1.673356,0.597602
ARM,32,128,1024,1000000,40,0.010422,10421619000,7021893,7837955,3299807,988,7021385,540,1061,1236,1.484154,0.673784
RISCV,128,128,256,1000000,20,0.003061,3061033000,1863556,1866805,707170,570,2287107,425,743,904,1.642503,0.608827
ARM,64,64,128,1000000,40,0.010420,10420252000,7021893,7837955,3299931,864,7021385,540,816,1237,1.483960,0.673873
x86,128,64,1024,1000000,80,0.075328,75328320000,43927744,64430812,19179460,725,55958746,691,1471,1449,1.714812,0.583154
x86,32,64,256,1000000,10,0.000879,878725000,490173,881503,171032,311,637415,678,662,1002,1.792486,0.557884
RISCV,64,128,256,1000000,5,0.000390,389785000,222458,222707,63751,522,268421,426,746,834,1.751882,0.570815
RISCV,32,32,1024,1000000,5,0.000390,389785000,222458,222707,63730,543,268421,426,769,834,1.751882,0.570815
RISCV,64,128,1024,1000000,40,0.014098,14098481000,8580401,8593250,3490203,832,10511767,441,819,1124,1.643075,0.608615
x86,64,64,512,1000000,10,0.000878,878362000,490173,881503,171070,273,637415,678,621,1002,1.791745,0.558115
ARM,128,32,512,1000000,80,0.058561,58560726000,39188736,42408450,19240209,989,39188253,545,1686,1216,1.494323,0.669199
ARM,32,64,128,1000000,10,0.000619,619080000,404565,462988,154143,553,404066,521,794,864,1.530157,0.653528
ARM,128,128,1024,1000000,40,0.010420,10420035000,7021893,7837955,3299944,851,7021385,540,802,1236,1.483929,0.673887
ARM,128,32,128,1000000,5,0.000281,281291000,172171,192213,50064,510,171671,521,707,855,1.633599,0.612145
RISCV,128,128,1024,1000000,80,0.076585,76584894000,46308329,46359578,19951757,813,56488937,444,1699,1185,1.653794,0.604670
ARM,32,64,256,1000000,10,0.000619,619080000,404565,462988,154143,553,404066,521,794,864,1.530157,0.653528
x86,64,128,512,1000000,20,0.002937,2936777000,1702355,2922286,664116,338,2193634,677,618,1078,1.725040,0.579697
ARM,64,32,1024,1000000,5,0.000281,281354000,172171,192213,50062,512,171671,521,709,855,1.633965,0.612008
RISCV,64,32,1024,1000000,10,0.000870,870252000,520012,520861,177095,525,635285,426,766,834,1.673356,0.597602
RISCV,32,64,1024,1000000,5,0.000390,389785000,222458,222707,63730,543,268421,426,769,834,1.751882,0.570815
x86,64,128,256,1000000,80,0.075331,75331248000,43927744,64430812,19179237,948,55958746,691,3441,1448,1.714879,0.583132
RISCV,32,64,1024,1000000,20,0.003061,3061195000,1863556,1866805,707126,614,2287107,425,794,904,1.642590,0.608795
x86,32,128,256,1000000,5,0.000434,433795000,226849,414226,67148,309,298134,678,647,1004,1.911943,0.523028
ARM,128,32,128,1000000,20,0.002198,2197972000,1479303,1689401,649878,586,1478796,531,819,962,1.485793,0.673041
RISCV,128,64,1024,1000000,40,0.014102,14102176000,8580401,8593250,3490203,832,10511767,441,738,1177,1.643505,0.608456
ARM,64,32,128,1000000,80,0.058563,58562553000,39188736,42408450,19239967,1231,39188253,545,4034,1200,1.494370,0.669178
x86,128,64,1024,1000000,40,0.013567,13566668000,7927896,12666523,3301031,573,10150740,687,612,1343,1.711225,0.584377
x86,128,64,256,1000000,40,0.013567,13566668000,7927896,12666523,3301031,573,10150740,687,612,1343,1.711225,0.584377
RISCV,128,64,256,1000000,80,0.076585,76584894000,46308329,46359578,19951757,813,56488937,444,1699,1185,1.653794,0.604670
x86,64,128,512,1000000,40,0.013567,13566830000,7927896,12666523,3301021,583,10150740,687,624,1344,1.711245,0.584370
ARM,64,64,128,1000000,10,0.000619,618853000,404565,462988,154179,517,404066,521,755,861,1.529596,0.653768
ARM,32,128,128,1000000,40,0.010422,10421619000,7021893,7837955,3299807,988,7021385,540,1060,1237,1.484154,0.673784
ARM,32,32,128,1000000,40,0.010422,10421688000,7021893,7837955,3299807,988,7021385,540,1059,1238,1.484164,0.673780
ARM,128,128,256,1000000,5,0.000281,281287000,172171,192213,50064,510,171671,521,707,855,1.633576,0.612154
x86,32,32,128,1000000,20,0.002938,2937512000,1702355,2922286,664076,378,2193632,679,668,1078,1.725472,0.579552
x86,128,128,256,1000000,40,0.013567,13566668000,7927896,12666523,3301031,573,10150740,687,612,1343,1.711225,0.584377
RISCV,32,128,128,1000000,5,0.000390,389785000,222458,222707,63730,543,268421,426,769,834,1.751882,0.570815
ARM,128,128,256,1000000,20,0.002198,2197972000,1479303,1689401,649878,586,1478796,531,819,962,1.485793,0.673041
ARM,128,128,1024,1000000,20,0.002198,2197972000,1479303,1689401,649878,586,1478796,531,819,962,1.485793,0.673041
RISCV,128,32,1024,1000000,20,0.003061,3061033000,1863556,1866805,707170,570,2287107,425,743,904,1.642503,0.608827
ARM,32,32,128,1000000,80,0.058574,58573613000,39188736,42408450,19239367,1831,39188253,545,5008,1253,1.494652,0.669052
ARM,32,32,1024,1000000,40,0.010422,10421621000,7021893,7837955,3299807,988,7021385,540,1061,1236,1.484155,0.673784
x86,32,32,256,1000000,40,0.013568,13568219000,7927896,12666523,3300992,612,10150738,689,656,1343,1.711421,0.584310
ARM,64,32,128,1000000,20,0.002198,2198121000,1479303,1689401,649868,596,1478796,531,829,963,1.485894,0.672996
RISCV,32,64,512,1000000,80,0.076595,76594683000,46308329,46359578,19951071,1499,56488937,444,4667,1243,1.654005,0.604593
RISCV,64,32,128,1000000,20,0.003061,3061195000,1863556,1866805,707145,595,2287107,425,774,904,1.642590,0.608795
ARM,32,128,512,1000000,5,0.000282,281722000,172171,192213,50024,550,171671,521,750,859,1.636102,0.611209
RISCV,128,128,256,1000000,40,0.014102,14102176000,8580401,8593250,3490203,832,10511767,441,738,1177,1.643505,0.608456
x86,32,32,512,1000000,80,0.075338,75337555000,43927744,64430812,19178526,1659,55958744,693,4816,1370,1.715023,0.583083
x86,32,32,128,1000000,80,0.075339,75338709000,43927744,64430812,19178526,1659,55958744,693,4789,1397,1.715049,0.583074
ARM,128,128,128,1000000,10,0.000619,618710000,404565,462988,154185,511,404066,521,749,860,1.529242,0.653919
ARM,128,64,512,1000000,20,0.002198,2197972000,1479303,1689401,649878,586,1478796,531,819,962,1.485793,0.673041
ARM,64,64,512,1000000,40,0.010420,10420168000,7021893,7837955,3299931,864,7021385,540,817,1236,1.483948,0.673878
ARM,64,128,128,1000000,10,0.000619,618853000,404565,462988,154179,517,404066,521,755,861,1.529596,0.653768
ARM,32,32,512,1000000,5,0.000282,281722000,172171,192213,50024,550,171671,521,750,859,1.636102,0.611209
RISCV,128,32,256,1000000,5,0.000390,389661000,222458,222707,63771,502,268421,426,725,834,1.751325,0.570996
x86,128,64,1024,1000000,20,0.002937,2936777000,1702355,2922286,664116,338,2193634,677,618,1078,1.725040,0.579697
ARM,0,0,0,1000000,80,2.827450,2827449774000,39188736,42408450,,,,,,,72.149440,0.013860
x86,32,32,1024,1000000,5,0.000434,433831000,226849,414226,67148,309,298132,680,649,1004,1.912102,0.522985
RISCV,64,64,512,1000000,10,0.000870,870250000,520012,520861,177095,525,635285,426,766,834,1.673352,0.597603
RISCV,32,64,128,1000000,10,0.000870,870402000,520012,520861,177076,544,635285,426,787,834,1.673644,0.597499
x86,64,32,128,1000000,5,0.000434,433559000,226849,414226,67185,272,298132,680,609,1004,1.910903,0.523313
x86,128,128,128,1000000,80,0.075329,75328652000,43927744,64430812,19179460,725,55958746,691,1470,1450,1.714820,0.583152
x86,128,128,1024,1000000,40,0.013567,13566668000,7927896,12666523,3301031,573,10150740,687,612,1343,1.711225,0.584377
RISCV,0,0,0,1000000,5,0.016623,16622732000,222458,222707,,,,,,,74.710587,0.013385
RISCV,32,32,1024,1000000,80,0.076595,76594685000,46308329,46359578,19951071,1499,56488937,444,4667,1243,1.654005,0.604593
x86,32,32,256,1000000,80,0.075338,75337555000,43927744,64430812,19178526,1659,55958744,693,4816,1370,1.715023,0.583083
x86,0,0,0,1000000,5,0.018291,18291237000,226849,414226,,,,,,,80.618268,0.012404
x86,128,32,128,1000000,5,0.000434,433559000,226849,414226,67185,272,298132,680,609,1004,1.910903,0.523313
RISCV,128,128,128,1000000,40,0.014102,14102176000,8580401,8593250,3490203,832,10511767,441,738,1177,1.643505,0.608456
RISCV,32,128,512,1000000,40,0.014100,14099795000,8580401,8593250,3490165,870,10511767,441,850,1127,1.643228,0.608558
ARM,32,64,1024,1000000,20,0.002199,2198979000,1479303,1689401,649835,629,1478796,531,865,962,1.486474,0.672733
x86,128,64,256,1000000,80,0.075328,75328320000,43927744,64430812,19179460,725,55958746,691,1471,1449,1.714812,0.583154
x86,128,32,128,1000000,10,0.000878,878384000,490173,881503,171070,273,637413,680,623,1002,1.791790,0.558101
x86,128,128,1024,1000000,20,0.002937,2936777000,1702355,2922286,664116,338,2193634,677,618,1078,1.725040,0.579697
ARM,32,64,512,1000000,20,0.002199,2198979000,1479303,1689401,649835,629,1478796,531,865,962,1.486474,0.672733
ARM,64,128,256,1000000,20,0.002198,2198052000,1479303,1689401,649868,596,1478796,531,830,962,1.485847,0.673017
x86,64,32,512,1000000,80,0.075331,75331284000,43927744,64430812,19179237,948,55958744,693,3443,1448,1.714880,0.583131
RISCV,64,32,256,1000000,5,0.000390,389785000,222458,222707,63751,522,268421,426,746,834,1.751882,0.570815
x86,128,32,512,1000000,20,0.002937,2936896000,1702355,2922286,664116,338,2193632,679,620,1078,1.725110,0.579673
RISCV,64,32,128,1000000,40,0.014098,14098485000,8580401,8593250,3490203,832,10511767,441,819,1124,1.643075,0.608615
RISCV,128,64,256,1000000,40,0.014102,14102176000,8580401,8593250,3490203,832,10511767,441,738,1177,1.643505,0.608456
RISCV,32,128,1024,1000000,80,0.076595,76594683000,46308329,46359578,19951071,1499,56488937,444,4667,1243,1.654005,0.604593
x86,32,64,128,1000000,10,0.000879,878725000,490173,881503,171032,311,637415,678,662,1002,1.792486,0.557884
RISCV,32,128,512,1000000,80,0.076595,76594683000,46308329,46359578,19951071,1499,56488937,444,4667,1243,1.654005,0.604593
RISCV,128,32,1024,1000000,10,0.000870,870135000,520012,520861,177118,502,635285,426,742,834,1.673131,0.597682
RISCV,32,128,256,1000000,20,0.003061,3061195000,1863556,1866805,707126,614,2287107,425,794,904,1.642590,0.608795
x86,64,128,128,1000000,80,0.075332,75332316000,43927744,64430812,19179237,948,55958746,691,3429,1460,1.714903,0.583123
x86,128,128,512,1000000,80,0.075328,75328320000,43927744,64430812,19179460,725,55958746,691,1471,1449,1.714812,0.583154
x86,32,32,1024,1000000,80,0.075338,75337555000,43927744,64430812,19178526,1659,55958744,693,4816,1370,1.715023,0.583083
ARM,32,64,512,1000000,80,0.058571,58571372000,39188736,42408450,19239367,1831,39188253,545,5044,1217,1.494595,0.669078
x86,32,128,512,1000000,10,0.000879,878725000,490173,881503,171032,311,637415,678,662,1002,1.792486,0.557884
RISCV,32,32,128,1000000,20,0.003061,3061195000,1863556,1866805,707126,614,2287107,425,794,904,1.642590,0.608795
x86,128,32,128,1000000,80,0.075329,75328814000,43927744,64430812,19179460,725,55958744,693,1470,1452,1.714824,0.583150
ARM,128,128,512,1000000,20,0.002198,2197972000,1479303,1689401,649878,586,1478796,531,819,962,1.485793,0.673041
x86,128,32,256,1000000,80,0.075328,75328326000,43927744,64430812,19179460,725,55958744,693,1473,1449,1.714812,0.583154
RISCV,64,128,512,1000000,40,0.014098,14098481000,8580401,8593250,3490203,832,10511767,441,819,1124,1.643075,0.608615
x86,128,64,128,1000000,40,0.013567,13566668000,7927896,12666523,3301031,573,10150740,687,612,1343,1.711225,0.584377
x86,64,32,256,1000000,10,0.000878,878384000,490173,881503,171070,273,637413,680,623,1002,1.791790,0.558101
x86,32,32,128,1000000,40,0.013568,13568219000,7927896,12666523,3300992,612,10150738,689,656,1343,1.711421,0.584310
RISCV,64,128,512,1000000,80,0.076588,76588055000,46308329,46359578,19951582,988,56488937,444,3627,1243,1.653862,0.604645
RISCV,32,128,512,1000000,5,0.000390,389785000,222458,222707,63730,543,268421,426,769,834,1.751882,0.570815
x86,128,128,256,1000000,20,0.002937,2936777000,1702355,2922286,664116,338,2193634,677,618,1078,1.725040,0.579697
ARM,32,128,1024,1000000,20,0.002199,2198979000,1479303,1689401,649835,629,1478796,531,865,962,1.486474,0.672733
x86,64,32,256,1000000,40,0.013567,13566832000,7927896,12666523,3301021,583,10150738,689,626,1344,1.711246,0.584370
x86,64,128,128,1000000,20,0.002937,2936777000,1702355,2922286,664116,338,2193634,677,618,1078,1.725040,0.579697
x86,128,128,512,1000000,5,0.000434,433545000,226849,414226,67185,272,298134,678,607,1004,1.910841,0.523330
x86,64,64,128,1000000,10,0.000878,878362000,490173,881503,171070,273,637415,678,621,1002,1.791745,0.558115
RISCV,32,64,128,1000000,20,0.003061,3061195000,1863556,1866805,707126,614,2287107,425,794,904,1.642590,0.608795
ARM,64,128,1024,1000000,20,0.002198,2198052000,1479303,1689401,649868,596,1478796,531,830,962,1.485847,0.673017
x86,32,64,256,1000000,20,0.002937,2937426000,1702355,2922286,664076,378,2193634,677,666,1078,1.725421,0.579569
RISCV,64,128,256,1000000,20,0.003061,3061195000,1863556,1866805,707145,595,2287107,425,774,904,1.642590,0.608795
x86,32,64,128,1000000,40,0.013568,13568117000,7927896,12666523,3300992,612,10150740,687,654,1343,1.711408,0.584314
RISCV,64,128,256,1000000,10,0.000870,870250000,520012,520861,177095,525,635285,426,766,834,1.673352,0.597603
x86,64,64,256,1000000,10,0.000878,878362000,490173,881503,171070,273,637415,678,621,1002,1.791745,0.558115
ARM,32,128,256,1000000,5,0.000282,281722000,172171,192213,50024,550,171671,521,750,859,1.636102,0.611209
ARM,128,128,512,1000000,5,0.000281,281287000,172171,192213,50064,510,171671,521,707,855,1.633576,0.612154
RISCV,64,32,512,1000000,40,0.014098,14098485000,8580401,8593250,3490203,832,10511767,441,819,1124,1.643075,0.608615
x86,64,128,128,1000000,40,0.013567,13566830000,7927896,12666523,3301021,583,10150740,687,624,1344,1.711245,0.584370
RISCV,32,128,1024,1000000,40,0.014100,14099795000,8580401,8593250,3490165,870,10511767,441,850,1127,1.643228,0.608558
ARM,64,32,256,1000000,40,0.010420,10420171000,7021893,7837955,3299931,864,7021385,540,817,1236,1.483948,0.673878
RISCV,64,32,512,1000000,10,0.000870,870252000,520012,520861,177095,525,635285,426,766,834,1.673356,0.597602
x86,32,32,128,1000000,10,0.000879,878761000,490173,881503,171032,311,637413,680,664,1002,1.792559,0.557862
RISCV,64,128,1024,1000000,80,0.076588,76588055000,46308329,46359578,19951582,988,56488937,444,3627,1243,1.653862,0.604645
ARM,32,128,256,1000000,20,0.002199,2198979000,1479303,1689401,649835,629,1478796,531,865,962,1.486474,0.672733
ARM,64,64,256,1000000,5,0.000281,281354000,172171,192213,50062,512,171671,521,709,855,1.633965,0.612008
x86,32,32,512,1000000,20,0.002938,2937512000,1702355,2922286,664076,378,2193632,679,668,1078,1.725472,0.579552
ARM,64,128,1024,1000000,10,0.000619,618710000,404565,462988,154179,517,404066,521,756,860,1.529242,0.653919
x86,128,32,256,1000000,40,0.013567,13566670000,7927896,12666523,3301031,573,10150738,689,614,1343,1.711225,0.584377
ARM,64,64,128,1000000,5,0.000281,281354000,172171,192213,50062,512,171671,521,709,855,1.633965,0.612008
RISCV,32,64,512,1000000,20,0.003061,3061195000,1863556,1866805,707126,614,2287107,425,794,904,1.642590,0.608795
ARM,128,64,256,1000000,40,0.010420,10420035000,7021893,7837955,3299944,851,7021385,540,802,1236,1.483929,0.673887
ARM,32,64,256,1000000,20,0.002199,2198979000,1479303,1689401,649835,629,1478796,531,865,962,1.486474,0.672733
x86,64,128,128,1000000,10,0.000878,878362000,490173,881503,171070,273,637415,678,621,1002,1.791745,0.558115
RISCV,128,32,256,1000000,20,0.003061,3061033000,1863556,1866805,707170,570,2287107,425,743,904,1.642503,0.608827
x86,64,128,1024,1000000,5,0.000434,433545000,226849,414226,67185,272,298134,678,607,1004,1.910841,0.523330
RISCV,128,32,1024,1000000,40,0.014102,14102184000,8580401,8593250,3490203,832,10511767,441,738,1177,1.643506,0.608455
ARM,32,32,256,1000000,80,0.058571,58571372000,39188736,42408450,19239367,1831,39188253,545,5044,1217,1.494595,0.669078
RISCV,64,64,128,1000000,10,0.000870,870250000,520012,520861,177095,525,635285,426,766,834,1.673352,0.597603
ARM,128,64,128,1000000,80,0.058561,58561000000,39188736,42408450,19240209,989,39188253,545,1682,1220,1.494330,0.669196
ARM,32,64,256,1000000,80,0.058571,58571372000,39188736,42408450,19239367,1831,39188253,545,5044,1217,1.494595,0.669078
ARM,128,32,1024,1000000,40,0.010420,10420035000,7021893,7837955,3299944,851,7021385,540,802,1236,1.483929,0.673887
RISCV,64,64,128,1000000,20,0.003061,3061195000,1863556,1866805,707145,595,2287107,425,774,904,1.642590,0.608795
RISCV,32,64,128,1000000,5,0.000390,389785000,222458,222707,63730,543,268421,426,769,834,1.751882,0.570815
RISCV,64,128,1024,1000000,10,0.000870,870250000,520012,520861,177095,525,635285,426,766,834,1.673352,0.597603
